Lat;Lon;Time Range;Apparent Fishing hours
73,8;17,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,188611
73,8;18;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,0525
73,7;19,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,644167
73,8;19,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,285278
73,7;19,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,580833
73,9;20,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;11,781111
73,9;20,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,2075
73,7;19,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,007222
73,9;20,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;14,363333
71,2;20,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,798611
71,2;21;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,698889
71;20,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,002778
71;20,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,361389
70,8;20,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;72,994722
71,2;21,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,556111
71,3;22,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;26,668056
72,1;22,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,701667
72;23;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,284444
71,5;25;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,302222
69;14,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;90,240833
68,9;14,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;71,726389
70,4;22,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;14,959444
69,9;21,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;69,006111
74,2;22,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;24,4425
74,3;23;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;26,311389
74,1;22,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;8,173889
74,2;23,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;8,102222
71,4;25,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;20,9025
71,4;28,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;12,71
71,4;29;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;27,181667
71,3;29;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;29,733611
71,4;29,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,413056
73,7;17,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,002222
73,6;18;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,348889
73,6;18,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,825556
